Event type;Event subtype;Expected message;Received message;Sent from;Got from;Passed
Config;wifi_scanner;Config, wifi_scanner;Config, wifi_scanner;+37060789118;+37060789118;True
Config;xl2tpd;Config, xl2tpd;Config, xl2tpd;+37060789118;+37060789118;True
WiFi;all;WiFi, all;WiFi, all;+37060789118;+37060789118;True
WiFi;client connected;WiFi, client connected;WiFi, client connected;+37060789118;+37060789118;True
WiFi;client disconnected;WiFi, client disconnected;WiFi, client disconnected;+37060789118;+37060789118;True
SSH;all;SSH, all;SSH, all;+37060789118;+37060789118;True
SSH;succeeded;SSH, succeeded;SSH, succeeded;+37060789118;+37060789118;True
SSH;bad;SSH, bad;SSH, bad;+37060789118;+37060789118;True
Switch Events;all;Switch Events, all;Switch Events, all;+37060789118;+37060789118;True
Switch Events;Port link state;Switch Events, Port link state;Switch Events, Port link state;+37060789118;+37060789118;True
Switch Events;Port speed for;Switch Events, Port speed for;Switch Events, Port speed for;+37060789118;+37060789118;True
Switch Events;changed to DOWN;Switch Events, changed to DOWN;Switch Events, changed to DOWN;+37060789118;+37060789118;True
Switch Events;changed to UP;Switch Events, changed to UP;Switch Events, changed to UP;+37060789118;+37060789118;True
Reboot;all;Reboot, all;Reboot, all;+37060789118;+37060789118;True
Reboot;web ui;Reboot, web ui;Reboot, web ui;+37060789118;+37060789118;True
